"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43062","@smoke home page header test","chromium","2026-06-29","broken","2026-06-29","","homepage.spec.ts","",""
"","43370","@smoke home page title test","chromium","2026-06-29","broken","2026-06-29","","homepage.spec.ts","",""
"","40245","@smoke title test","chromium","2026-06-29","broken","2026-06-29","","loginpage.spec.ts","",""
"","40191","@smoke forgot password link exist test","chromium","2026-06-29","broken","2026-06-29","","loginpage.spec.ts","",""
"","40206","@smoke application logo test","chromium","2026-06-29","broken","2026-06-29","","loginpage.spec.ts","",""
"","43418","@smoke logout link exist test","chromium","2026-06-29","broken","2026-06-29","","homepage.spec.ts","",""
