"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1996","@smoke forgot password link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3050","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","1992","@smoke title test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2731","@smoke home page header test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2077","@smoke application logo test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3149","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
